index,life_cycle_assessment,passive_design,ubem,parametric_design,hvac_optimization,district_energy_system,measurement_and_verification,retro-commissioning,energy_audit,model_predictive_control,demand_response,energy_benchmarking,fault_detection_and_diagnosis,om,demand_controlled_ventilation,renewable_energy,retrofit_analysis
baseline_models,,0.05958709865808487,0.23278017342090607,,,,0.2708240747451782,0.17673134803771973,0.11700073629617691,,,0.15175962448120117,0.12348663806915283,,0.14553232491016388,,0.2282562553882599
ecm,0.18042266368865967,0.21239587664604187,0.18186378479003906,,0.060646720230579376,,0.2727906405925751,0.21417436003684998,0.35321173071861267,0.1637677550315857,0.12115943431854248,0.19472849369049072,0.2596372067928314,0.12714633345603943,0.25009727478027344,0.0763150230050087,0.5295395255088806
air_speed,,0.09809218347072601,,,,,0.07602686434984207,,0.05187666043639183,0.08688612282276154,,,0.0702374055981636,,0.19290173053741455,0.07037290930747986,0.11520910263061523
wind_direction,0.13244445621967316,0.19205978512763977,0.059015218168497086,,,,,,,0.10654725134372711,,,,,,0.2069147229194641,0.06319364905357361
wind_speed,0.13244445621967316,0.19205978512763977,0.059015218168497086,,,,,,,0.10654725134372711,,,,,,0.2069147229194641,0.06319364905357361
indoor_air_temperature,0.06708607077598572,0.2012929767370224,,,,,,,,0.20397433638572693,0.12117912620306015,,0.1335025131702423,0.07355966418981552,0.1427808403968811,0.13594794273376465,0.0848042219877243
outdoor_air_temperature,,0.20341087877750397,,,,0.09878606349229813,,,,0.11182857304811478,,0.053848996758461,0.1129879429936409,,0.09878910332918167,,
outdoor_temperature,0.06101785972714424,0.1842690408229828,,,,0.05455061048269272,,,,0.13523754477500916,0.07100047171115875,,,,,0.09723920375108719,0.11566495895385742
relative_humidity,0.05743846297264099,0.11563102900981903,,,,,,,,0.12262662500143051,,,0.07976041734218597,,0.1461840271949768,0.08617273718118668,0.0550675205886364
time-step,,,,,,,,,0.09929362684488297,0.2031651884317398,0.06078505143523216,,0.05176334083080292,,0.10066364705562592,0.05848553404211998,
heat_balance,0.09683522582054138,0.13462628424167633,0.06674861907958984,,,,,,0.13345205783843994,0.14040926098823547,0.07370316982269287,,0.09343700110912323,0.07331177592277527,,,0.1322929859161377
energy_balance,0.18478888273239136,0.09589742124080658,,,,,,,0.1657300591468811,0.07958182692527771,0.12909501791000366,,0.1072506457567215,0.08861614763736725,,0.2174505889415741,0.1284978985786438
heat_transfer,0.05379418283700943,0.09545663744211197,,,,,,,0.06466390937566757,0.12572401762008667,0.06265775114297867,,0.10214392840862274,,,0.09534214437007904,0.12481419742107391
carbon_dioxide,0.24275192618370056,0.0782773494720459,,,,,,,,0.14887726306915283,,,0.09708186239004135,0.10403082519769669,0.23790480196475983,0.29532450437545776,0.10252095758914948
site,0.11917097121477127,0.1345875859260559,0.0764245092868805,,,0.08785812556743622,,,0.21824504435062408,,0.06228763237595558,,0.07646128535270691,0.09521736204624176,,0.1898641139268875,0.1846882402896881
weather_data,0.18110474944114685,0.2215394377708435,0.2623526453971863,0.10084664821624756,,0.12955832481384277,,0.08963313698768616,0.21644891798496246,0.17580196261405945,0.09786027669906616,0.14915886521339417,0.08185775578022003,0.0504157729446888,,0.18381117284297943,0.22026470303535461
dry_bulb_temperature,,0.10715113580226898,,,,,,,,0.089260995388031,,,0.06354781985282898,0.05540630966424942,0.07588421553373337,,0.05582694709300995
dew_point,,,,,,,,,,,,,0.0532761849462986,,0.08302181959152222,,
energy_consumption,0.30822259187698364,0.2602100372314453,0.34533408284187317,,,0.07722415775060654,0.14940527081489563,0.1518837958574295,0.3635075092315674,0.2838147282600403,0.29016274213790894,0.3544332981109619,0.2955254018306732,0.08562109619379044,0.1643701046705246,0.37641292810440063,0.3280767798423767
schedule,0.14683659374713898,0.16903066635131836,0.18218758702278137,,,,0.07683044672012329,0.15499630570411682,0.2017233967781067,0.3845987915992737,0.4173145890235901,0.05349643528461456,0.2568632960319519,0.08473837375640869,0.3054738938808441,0.22379115223884583,0.2551640570163727
ahu,0.06431486457586288,0.10242900997400284,,0.09396141767501831,0.0542093887925148,0.06892817467451096,0.10724439471960068,0.24075235426425934,0.13635362684726715,0.3009354770183563,0.10585392266511917,0.08495594561100006,0.45401766896247864,0.09261536598205566,0.2725417912006378,0.0948706567287445,0.18159419298171997
energy_price,0.10712148249149323,0.051914796233177185,,,,,,0.06441906094551086,0.0813976600766182,0.30670472979545593,0.3970116972923279,0.0826568752527237,0.11986248195171356,0.08707442134618759,0.07685305178165436,0.38981911540031433,0.179656520485878
cost_savings,0.20621004700660706,0.18658754229545593,,,,0.06554919481277466,0.14489667117595673,0.17022649943828583,0.21456237137317657,0.2879795432090759,0.4044579267501831,,0.15489907562732697,0.11106711626052856,0.2090705931186676,0.2621675133705139,0.3347318768501282
building_envelope,0.2493985891342163,0.41706031560897827,,0.1279275268316269,,0.11727132648229599,,0.07943599671125412,0.23501722514629364,0.1990322768688202,0.22717097401618958,0.09417133778333664,0.1697131097316742,0.12311610579490662,0.08515393733978271,0.2958880066871643,0.3669675290584564
building_geometry,0.2016049474477768,0.20149601995944977,0.23109044134616852,0.18923981487751007,,0.06090168654918671,,,0.11172638088464737,0.06838918477296829,,0.07463960349559784,0.07353472709655762,,,0.06328881531953812,0.24178919196128845
material_properties,0.17429709434509277,0.27405017614364624,0.10812793672084808,0.10523488372564316,,,,,0.16480711102485657,,,,0.06455358117818832,0.0904516726732254,,0.08059319853782654,0.16706106066703796
glazing,0.12449730187654495,0.28806883096694946,,0.06678156554698944,,,,,0.06845386326313019,0.07200510799884796,0.11552633345127106,0.06933987140655518,0.06331110000610352,0.09176942706108093,,0.15715625882148743,0.23796018958091736
shading_devices,0.1635652482509613,0.4491393566131592,,0.1671317219734192,,,,0.0679517462849617,,0.12684538960456848,0.12233549356460571,,0.06529038399457932,0.06531175225973129,0.12624751031398773,0.18032854795455933,0.1828845739364624
building_orientation,0.11273786425590515,0.39553868770599365,0.12327023595571518,0.10209205001592636,,,,,0.06472447514533997,0.07161246240139008,0.060116253793239594,0.08981087058782578,,0.09142448008060455,,0.11459577828645706,0.1824318766593933
zone,,0.1572914719581604,0.13763421773910522,,,,,0.07550276815891266,0.09867703914642334,0.18824703991413116,0.07858864217996597,,0.1367470920085907,0.08781670033931732,0.1776019185781479,0.09568733721971512,0.15000873804092407
surface,0.06728509813547134,0.12017154693603516,,,,,,,0.07145072519779205,,,,0.05749538168311119,0.180345356464386,,,0.09797593951225281
thermal_mass,0.18983528017997742,0.39966559410095215,0.14145724475383759,,,,,0.09611205756664276,,0.2717192769050598,0.2815984785556793,,0.052067290991544724,,0.11365435272455215,0.20088480412960052,0.21753127872943878
building_form,0.14033427834510803,0.32011210918426514,0.11980755627155304,0.19124853610992432,0.07833702862262726,0.13297110795974731,,0.054770663380622864,0.1229596808552742,0.07959980517625809,0.12092410773038864,0.14972226321697235,,,,0.09739132225513458,0.25862887501716614
