index,baseline_models,ecm,air_speed,wind_direction,wind_speed,indoor_air_temperature,outdoor_air_temperature,outdoor_temperature,relative_humidity,time-step,heat_balance,energy_balance,heat_transfer,carbon_dioxide,site,weather_data,dry_bulb_temperature,dew_point,energy_consumption,schedule,ahu,energy_price,cost_savings,building_envelope,building_geometry,material_properties,glazing,shading_devices,building_orientation,zone,surface,thermal_mass,building_form,passive_design_strategies,natural_ventilation,internal_heat_gains,lights,equipment,daylighting,mass_flow_rate,inlet_temperature,outlet_temperature,cooling_load,heating_load,chilled_water,chiller,cop,hot_water,compressor_power,condenser_fan_power,condensing_temperature,fan_power,fan_speed,set_point,water_temperature,variable_air_volume,constant_air_volume,static_pressure,differential_pressure,thermal_comfort,damper,air-to-air,air-to-water,heat_recovery,load_profile,time-of-use,household_appliances,energy_storage,smart_meters,post-occupancy_evaluation,coefficient_of_variation,calibrated_model,electricity_pricing,cost_analysis,control_algorithms,pmv,ppd,thermal_sensation,operative_temperature,mean_radiant_temperature,clothing_insulation,thermal_comfort_index,ashrae_guideline_14,calibrated_simulation,occupant_behavior,noise_level,eui,historical_data,real-time,meter_readings,heating_degree_days,cooling_degree_days,performance_measurement_and_verification
energy_simulation,0.1953611969947815,0.32204461097717285,0.19832003116607666,0.1735798418521881,0.1829356551170349,0.21310032904148102,0.17135894298553467,0.13346995413303375,0.19651365280151367,0.2437329888343811,0.3457697629928589,0.23526370525360107,0.258929044008255,0.1385907530784607,0.1743587851524353,0.4858705401420593,0.19563861191272736,0.12503448128700256,0.461572527885437,0.3393629491329193,0.18592026829719543,0.1079113706946373,0.15646424889564514,0.41284817457199097,0.4998288154602051,0.34575557708740234,0.24412761628627777,0.23807314038276672,0.2565562129020691,0.30327555537223816,0.1541920006275177,0.22155632078647614,0.36804282665252686,0.21058215200901031,0.19653023779392242,0.27638229727745056,0.21332529187202454,0.19250908493995667,0.37988460063934326,0.10531605780124664,,0.05333319678902626,0.3233488202095032,0.29777729511260986,0.12223772704601288,0.1686885952949524,0.19640091061592102,0.0925738662481308,0.0727975070476532,,0.07654553651809692,0.1114475429058075,0.05800607055425644,0.17637118697166443,,0.22674429416656494,0.12036986649036407,0.10063733160495758,,0.3330463469028473,0.09037773311138153,0.14654697477817535,,0.19723182916641235,0.19725722074508667,0.07871368527412415,0.075079545378685,0.16962233185768127,0.0689607784152031,0.2601374089717865,0.22533933818340302,0.3576675355434418,0.24653087556362152,0.2956268787384033,0.24576044082641602,0.23284262418746948,0.21348819136619568,0.21195641160011292,0.17689937353134155,0.19574511051177979,0.13170437514781952,0.23823398351669312,0.24582666158676147,0.213143453001976,0.41774094104766846,,0.16084468364715576,0.2216484546661377,0.2623421549797058,0.06535466015338898,0.17817533016204834,0.12271565943956375,0.2326931357383728
optimization,,0.2281457781791687,0.22764426469802856,0.1680927723646164,0.21147920191287994,0.3129030764102936,0.16804134845733643,0.20825764536857605,0.21593190729618073,0.23425956070423126,0.21129614114761353,0.31438833475112915,0.3358079791069031,0.20066575706005096,0.33961614966392517,0.18766328692436218,0.10701458156108856,0.15477913618087769,0.410526305437088,0.40407705307006836,0.28742408752441406,0.27739518880844116,0.3244054913520813,0.45923560857772827,0.3148539066314697,0.247920960187912,0.22927513718605042,0.3022706210613251,0.34113264083862305,0.2742287516593933,0.24476446211338043,0.23240439593791962,0.36653444170951843,0.2114676833152771,0.2518010437488556,0.22153392434120178,0.23796828091144562,0.346373587846756,0.3300190567970276,0.25105440616607666,0.18266761302947998,0.19101651012897491,0.2669607400894165,0.2218419909477234,0.27781063318252563,0.3403216004371643,0.31133824586868286,0.22387486696243286,0.11125538498163223,0.06021382659673691,0.16929036378860474,0.15485548973083496,0.24244745075702667,0.3516491651535034,0.25745195150375366,0.20718736946582794,0.09749103337526321,0.22403767704963684,0.10188676416873932,0.45266520977020264,0.27401381731033325,0.1079833060503006,0.0808301642537117,0.31368863582611084,0.2953183948993683,0.21542704105377197,0.17468379437923431,0.3342294692993164,0.1993795931339264,0.07805053889751434,0.09888119250535965,0.20503361523151398,0.16493922472000122,0.24616694450378418,0.38455379009246826,0.15382800996303558,0.14449545741081238,0.09930912405252457,0.13100409507751465,0.06681065261363983,,0.07398444414138794,0.09651851654052734,0.0668845996260643,0.2818670868873596,0.11310476809740067,0.19244730472564697,0.26639431715011597,0.411501944065094,0.0689750611782074,,,
multi-objective_optimization,,0.20038318634033203,0.07895657420158386,,,0.11347499489784241,0.05159018188714981,0.05225105583667755,0.09094463288784027,0.11968496441841125,0.1936594843864441,0.23478657007217407,0.11460801959037781,0.1025039330124855,0.1539362072944641,0.08106329292058945,0.07552778720855713,0.20592808723449707,0.1986914873123169,0.21354104578495026,0.17706558108329773,0.14381204545497894,0.2605384886264801,0.29519253969192505,0.16396301984786987,0.09356296062469482,0.1457468867301941,0.13492245972156525,0.15776440501213074,0.11757910251617432,,0.08702694624662399,0.2590556740760803,0.21470880508422852,0.12991583347320557,0.07688925415277481,,0.08881667256355286,0.1828901469707489,0.10076484084129333,0.08283716440200806,0.055617962032556534,0.13483083248138428,0.12725085020065308,0.14718888700008392,0.1647903472185135,0.23028337955474854,0.06441207975149155,0.05505049601197243,0.12136340141296387,0.05456622689962387,0.05320810526609421,0.08645361661911011,0.1822909712791443,0.0719238668680191,0.14360865950584412,,0.07127255201339722,,0.35598570108413696,0.10807624459266663,0.19019940495491028,0.163901686668396,0.26118889451026917,0.19456645846366882,0.09016858041286469,0.12481166422367096,0.15678749978542328,,0.09421063959598541,0.11193694174289703,0.16953657567501068,0.08510403335094452,0.24816274642944336,0.24999523162841797,0.2258029580116272,0.21769854426383972,0.130889892578125,0.08251569420099258,0.08341313153505325,0.08244574815034866,0.15138041973114014,0.08286029100418091,0.07840827107429504,0.2183101773262024,,0.0970657616853714,0.08889371901750565,0.189500629901886,,,,
data_collection,0.08336734771728516,0.14842240512371063,0.17444370687007904,0.14725132286548615,0.20951485633850098,0.2626982629299164,0.17096146941184998,0.18372249603271484,0.2511225640773773,0.1607009619474411,0.11538010090589523,0.1029280349612236,0.1258419156074524,0.11427149176597595,0.40531784296035767,0.26850616931915283,0.10461384803056717,,0.4198564887046814,0.29857760667800903,0.16903339326381683,0.06277864426374435,0.08300774544477463,0.18379032611846924,0.13193537294864655,0.158399760723114,,0.09125279635190964,0.1353345662355423,0.20944537222385406,0.12701506912708282,,0.10576023161411285,,,0.15970586240291595,0.20822446048259735,0.3761383593082428,0.15695738792419434,0.06774349510669708,,,0.08052961528301239,0.05475936084985733,,0.13180987536907196,0.10901950299739838,0.1167745590209961,,,,0.05005660280585289,0.10644160956144333,0.1466650366783142,0.10606059432029724,,,0.0683709979057312,0.09278783202171326,0.29394012689590454,0.06812341511249542,,,0.08602076768875122,0.18839803338050842,0.06613371521234512,0.10636884719133377,0.12868556380271912,0.36337822675704956,0.2735447883605957,,0.14088526368141174,0.18690204620361328,0.15100520849227905,0.23011386394500732,0.07418353110551834,,0.2036459594964981,0.10210303962230682,0.08732661604881287,0.13574692606925964,,0.10475685447454453,0.08708919584751129,0.26762738823890686,0.08105884492397308,0.11585403233766556,0.35969942808151245,0.40214812755584717,0.33566057682037354,,,0.1328985095024109
measurement,,0.09255801141262054,0.4230313003063202,0.27442994713783264,0.33488649129867554,0.49323564767837524,0.2776334881782532,0.19679021835327148,0.45445501804351807,0.15917932987213135,0.195377379655838,0.18631333112716675,0.3399813175201416,0.32055118680000305,0.4259262979030609,0.2530398666858673,0.2580534517765045,0.24715940654277802,0.28658705949783325,0.19166351854801178,0.21158581972122192,0.07465188205242157,,0.263649582862854,0.07699346542358398,0.3091227114200592,0.2095324695110321,0.12754285335540771,0.1810903251171112,0.2592338025569916,0.3853158950805664,0.11241881549358368,,,0.07416512817144394,0.19254666566848755,0.22222216427326202,0.37867075204849243,0.2548377513885498,0.3044447898864746,0.18616072833538055,0.23011688888072968,0.14858771860599518,0.15917150676250458,0.11012815684080124,0.1722082495689392,0.22193683683872223,0.1968696117401123,0.05863798037171364,,,0.11251861602067947,0.2011699676513672,0.2568018436431885,0.2618618309497833,0.0994524210691452,,0.25569745898246765,0.29618263244628906,0.29950475692749023,0.2397739589214325,,,0.20027786493301392,0.12741990387439728,,,0.17463986575603485,0.2669892907142639,0.10919557511806488,0.16335821151733398,0.12091848254203796,,0.05604775995016098,0.14841324090957642,0.184076726436615,0.1231488585472107,0.22723400592803955,0.24487799406051636,0.24471820890903473,0.13019412755966187,0.07812834531068802,0.16856646537780762,0.11435496807098389,0.14814382791519165,0.2806651294231415,0.06852351874113083,0.24202978610992432,0.4088001251220703,0.24721288681030273,,,0.08008760213851929
neural_networks,0.07341127842664719,0.13679063320159912,,,0.11539276689291,0.16511589288711548,0.07285606116056442,0.14326250553131104,0.17014092206954956,0.16203366219997406,0.09193744510412216,,0.0758000835776329,0.13929474353790283,0.09017490595579147,0.12056092917919159,0.1032840758562088,0.0907476544380188,0.26216864585876465,0.21214956045150757,0.2481892704963684,0.08139006793498993,0.14104226231575012,0.08245964348316193,,0.07637021690607071,0.05078304186463356,0.11568760871887207,0.05170857533812523,0.07656397670507431,0.08292558789253235,,,,0.10536053776741028,0.08204960823059082,0.08687709271907806,0.1448550671339035,0.16098245978355408,,,,0.1187419667840004,0.07806526124477386,0.09488411992788315,0.16109424829483032,0.14710575342178345,0.05327996611595154,,,,,,0.13274569809436798,0.1272735744714737,0.16956612467765808,0.09189146757125854,,,0.22532975673675537,0.0993773564696312,,,0.07998652756214142,0.12285056710243225,,0.06851507723331451,0.14895299077033997,0.1348813772201538,0.10592931509017944,,0.10681189596652985,,0.07845975458621979,0.27714985609054565,0.20924870669841766,0.1319177746772766,0.15341947972774506,0.06860429793596268,0.08377516269683838,0.07117748260498047,0.09059448540210724,0.0639195516705513,,0.21979427337646484,,0.08844105154275894,0.3785243034362793,0.2635778784751892,0.16255724430084229,,,
reinforcement_learning,,,0.07072585076093674,0.07172137498855591,0.07139983773231506,0.1786373108625412,0.06839072704315186,0.12725010514259338,0.12442419677972794,0.12863239645957947,0.05597478896379471,,0.10113300383090973,0.07258579879999161,,0.05715576559305191,0.0906151831150055,0.10738864541053772,0.15433524549007416,0.137550950050354,0.17823216319084167,0.13289900124073029,0.11521141231060028,0.0964142456650734,0.09704433381557465,,0.10379808396100998,0.08801858127117157,0.05127245560288429,0.08555670827627182,0.06435145437717438,0.07012136280536652,,,0.12531407177448273,0.062124185264110565,0.08196161687374115,0.1219722330570221,0.09287196397781372,,,0.05249785631895065,0.10295119136571884,,0.07980605959892273,0.0735192745923996,0.13720209896564484,0.06544452160596848,,,,,0.16299942135810852,0.1458580195903778,0.10507228970527649,0.18977001309394836,0.09531918168067932,0.1448591947555542,,0.22448676824569702,0.11093804240226746,0.08150694519281387,0.07359971106052399,,0.0875791609287262,0.11043080687522888,0.058392658829689026,0.12214404344558716,0.13003212213516235,0.0772688090801239,0.10875745117664337,0.1170593798160553,0.08188499510288239,,0.21879014372825623,0.12882928550243378,0.12800928950309753,0.13058805465698242,0.11447454988956451,0.09658397734165192,0.12887541949748993,0.12293381243944168,0.06636753678321838,0.11075445264577866,0.1659696400165558,0.13318388164043427,0.05424579232931137,0.20940852165222168,0.17656424641609192,0.050053827464580536,,,0.08246354758739471
validation,0.14529338479042053,0.18738922476768494,0.291187047958374,0.1530912220478058,0.22085388004779816,0.3962191939353943,0.23111912608146667,0.2139376401901245,0.25810399651527405,0.2593676447868347,0.2301822006702423,0.27851974964141846,0.3230193853378296,0.10291364789009094,0.3071066439151764,0.28195852041244507,0.14169059693813324,0.13469241559505463,0.3719388246536255,0.2976756691932678,0.2638171315193176,,0.09076274186372757,0.2599160671234131,0.17651551961898804,0.27447310090065,0.1624297946691513,0.1663413643836975,0.1365782916545868,0.3239016532897949,0.257282018661499,0.11460589617490768,0.08439503610134125,0.10366670787334442,0.2031829059123993,0.21843034029006958,0.149383544921875,0.2565598785877228,0.25095894932746887,0.23961809277534485,0.16422142088413239,0.24658238887786865,0.2355615198612213,0.18707814812660217,0.12868067622184753,0.2196846902370453,0.24160000681877136,0.17629145085811615,0.12203788757324219,,0.10894361138343811,0.15319645404815674,0.18571612238883972,0.2349569946527481,0.20003744959831238,0.1462707370519638,0.05092686787247658,0.15208905935287476,0.12318195402622223,0.33493101596832275,0.265897274017334,0.13123726844787598,0.06982284039258957,0.21059124171733856,0.1799802929162979,,,0.15799440443515778,0.18181359767913818,0.13771234452724457,0.27553266286849976,0.366146445274353,0.14331844449043274,0.19615700840950012,0.31559568643569946,0.15821024775505066,0.0943126529455185,0.21808475255966187,0.1576698124408722,0.12521901726722717,0.09013970196247101,0.05751759931445122,0.25327157974243164,0.1245105192065239,0.2132354974746704,0.09996381402015686,0.1651703417301178,0.3187064528465271,0.35916659235954285,0.16213570535182953,,,0.11665435880422592
feature_extraction,0.05649151653051376,0.165105938911438,,,,0.09765134006738663,0.10506370663642883,0.07782813906669617,0.05652022734284401,0.10259979218244553,0.0899968147277832,,0.08690741658210754,,0.08369655907154083,0.1291639655828476,0.10668620467185974,,0.1945740133523941,0.1724431812763214,0.19684691727161407,,,0.13620880246162415,0.1403065025806427,0.10625532269477844,0.07182890921831131,0.050117913633584976,0.12964695692062378,0.07310845702886581,0.0833621695637703,,0.12947100400924683,0.09866905212402344,,0.10488836467266083,0.05306849628686905,0.14915217459201813,0.06299147754907608,,,,0.05570320412516594,,,0.16474805772304535,0.07002468407154083,,0.05259692668914795,,0.12252218276262283,,,0.10105792433023453,,0.09688150882720947,0.10512255877256393,,0.07872439920902252,0.11254054307937622,,0.06482917070388794,,0.11420144140720367,0.1933482587337494,,0.1111590564250946,,0.10131385177373886,0.11345519125461578,0.10319376736879349,0.20766377449035645,0.08146581798791885,0.08336939662694931,0.16226933896541595,,,0.08938734233379364,,,0.056592393666505814,,0.12345752120018005,0.146394282579422,0.11178275942802429,0.08874307572841644,0.14348123967647552,0.286382257938385,0.22199371457099915,0.2277018129825592,,,0.06897079199552536
anomaly_detection,0.15356981754302979,,,0.08055725693702698,0.0576387420296669,,0.054921917617321014,,,,,0.06869608908891678,,,,,,0.06813999265432358,0.2551814615726471,0.15712039172649384,0.15227918326854706,,0.06618732959032059,,,,,,,,,,,,,,,0.13698318600654602,,0.052576445043087006,,,,,,0.10373620688915253,0.08393725752830505,,,,0.05252635106444359,0.050511009991168976,,,0.0729108452796936,0.09273132681846619,,0.060291837900877,,0.07981378585100174,,0.08085599541664124,,,0.20075425505638123,,0.1948738992214203,0.06581077724695206,0.23936864733695984,0.07344105839729309,0.09312066435813904,0.2025991529226303,0.08905384689569473,0.06092280149459839,0.07888761162757874,,,0.08631297200918198,,,,,0.17915144562721252,0.1513042151927948,0.13628163933753967,0.09130126982927322,0.06875645369291306,0.32400959730148315,0.30888932943344116,0.29291778802871704,0.10926896333694458,0.06871791929006577,0.08767249435186386
