index,feature_extraction,segmentation,clustering,classification,neural_networks,reinforcement_learning,generative_adversarial_networks,anomaly_detection,dimensionality_reduction,data_visualization,energy_simulation,optimization,multi-objective_optimization,measurement,validation,data_collection,statistical_analysis,factor_analysis,regression,correlation
baseline_models,,,,,0.07454650104045868,,,0.09464485943317412,0.09184729307889937,,0.2021588385105133,,,,0.13159482181072235,0.08336734771728516,0.1327953189611435,,0.2586401104927063,0.07495670020580293
ecm,0.13973616063594818,0.060346487909555435,0.15183129906654358,0.16931751370429993,0.14432954788208008,,,,0.05220833793282509,0.1159963607788086,0.3155973553657532,0.18205860257148745,0.2054504156112671,0.10433665663003923,0.1857483685016632,0.13862453401088715,0.16551928222179413,0.057795669883489616,0.21193164587020874,0.12220176309347153
air_speed,,0.09539590030908583,0.09267418086528778,0.1394553929567337,0.06613224744796753,,,,,0.07895033061504364,0.2435262501239777,0.2656890153884888,,0.4181915521621704,0.29720360040664673,0.18085229396820068,0.1487421989440918,,0.1851384937763214,0.2906961441040039
wind_direction,,,0.07390281558036804,0.2062976360321045,,0.07567276060581207,,0.10723242163658142,,0.07224924862384796,0.15530946850776672,0.14714869856834412,,0.26790130138397217,0.14404958486557007,0.14348362386226654,0.1944088637828827,,0.1713312268257141,0.2852785289287567
wind_speed,0.060562167316675186,,0.1555427759885788,0.2062976360321045,0.11868927627801895,0.07567276060581207,,0.07331075519323349,,0.1186310574412346,0.1787945032119751,0.1961648166179657,,0.3561639189720154,0.2655861973762512,0.213675394654274,0.26411673426628113,,0.2533766329288483,0.3996434211730957
indoor_air_temperature,0.10855287313461304,0.08643531054258348,0.1706409752368927,0.25705212354660034,0.10698549449443816,0.14789313077926636,,,,0.05151384323835373,0.21706311404705048,0.3392214179039001,0.10794979333877563,0.4975492358207703,0.35951244831085205,0.2481611371040344,0.18851777911186215,0.05603006854653359,0.29812681674957275,0.3722818493843079
outdoor_air_temperature,0.08853955566883087,,0.056979812681674964,0.11524656414985655,,,,0.06240560859441757,,0.06480610370635986,0.16118596494197845,0.14219892024993894,,0.2776334881782532,0.21331824362277985,0.17096146941184998,0.18971553444862368,,0.27938205003738403,0.3100568652153015
outdoor_temperature,0.05032603815197945,,0.24157071113586426,0.1659105122089386,0.09804710000753404,0.09021115303039552,,,,,0.1357950121164322,0.1976997554302216,,0.19679021835327148,0.200671911239624,0.18372249603271484,0.22023889422416687,,0.3130258619785309,0.3259250521659851
relative_humidity,,,0.1391775906085968,0.1956074833869934,0.12390632927417755,0.06481922417879105,,,,0.09944150596857072,0.1934584528207779,0.2411085665225983,0.10184656083583833,0.4464871287345886,0.2780492901802063,0.26024919748306274,0.2308071106672287,,0.2531265616416931,0.34693586826324463
time-step,0.10111364722251892,,0.09820396453142166,,0.14292016625404358,0.10106466710567474,,,,0.08380056172609329,0.25163933634758,0.1653510332107544,0.10654149949550627,0.15917931497097015,0.2315463870763779,0.1607009470462799,0.06599634140729904,,0.202786922454834,
heat_balance,0.08752069622278214,0.06299099326133728,0.07672084867954254,0.09623037278652193,0.07514362782239914,0.052948016673326485,,,,0.058797650039196014,0.3415656387805939,0.1911635398864746,0.15423166751861572,0.195377379655838,0.23388727009296414,0.11538010090589525,0.15993386507034302,,0.21376535296440125,0.1389714479446411
energy_balance,,,0.08407425135374069,0.1223066747188568,,,,0.051396649330854416,,0.0566210076212883,0.25262272357940674,0.3237287402153015,0.1948356181383133,0.18631333112716675,0.27955374121665955,0.1029280349612236,0.1314350664615631,,0.20348596572875974,0.19441363215446472
heat_transfer,0.08049595355987549,0.07601957023143767,0.12033675611019135,0.1902405321598053,0.05949774757027626,,,,,0.08343348652124405,0.2699182629585266,0.3369324803352356,0.08073607087135315,0.3399813175201416,0.33703625202178955,0.1258419156074524,0.16076943278312686,,0.14701306819915771,0.3299140334129333
carbon_dioxide,,,,0.16658422350883484,0.10340523719787598,0.06671846657991409,,,,,0.1355615258216858,0.20381061732769007,0.1073332577943802,0.32055118680000305,0.1024935096502304,0.11427149176597595,0.1017828732728958,,0.1029558926820755,0.20996415615081787
site,0.08923463523387909,0.21618732810020447,0.2869331240653992,0.37320321798324585,0.09000691771507263,,,0.05732207372784615,,0.18887728452682492,0.16905704140663147,0.3493541479110718,0.14204272627830505,0.4264324307441712,0.2856779098510742,0.3661240339279175,0.2129979431629181,,0.19624999165534973,0.32784491777420044
weather_data,0.11683666706085205,,0.20671069622039795,0.1891596019268036,0.12970340251922607,0.0568043664097786,,0.06612968444824219,,0.22189602255821228,0.5364257097244263,0.2650398015975952,0.12309449911117555,0.2965794801712036,0.3546525835990906,0.3176954984664917,0.3421712815761566,0.06336229294538498,0.2926154136657715,0.2075990736484528
dry_bulb_temperature,0.06373745203018187,,,0.0704183578491211,0.08071944117546083,0.0792633667588234,,,,,0.19067494571208954,0.12088228762149812,0.0589262917637825,0.2459335327148437,0.15996667742729187,0.09839862585067748,0.17120295763015747,,0.2222568392753601,0.2397032976150513
dew_point,,,,0.07537203282117844,0.07142524421215057,,,0.05745745450258255,,,0.1257397085428238,0.1494656801223755,0.15186338126659393,0.2471594214439392,0.13454869389533994,,0.11373063921928404,,0.16515681147575378,0.16091559827327728
energy_consumption,0.17824353277683258,0.1102159172296524,0.30963772535324097,0.3215596675872803,0.24333399534225464,0.1483905017375946,0.05336883664131165,0.21517005562782288,0.11764200776815414,0.272337019443512,0.44846853613853455,0.5524547696113586,0.2820378839969635,0.3394249677658081,0.3359150588512421,0.3782138228416443,0.3804171681404114,0.08941542357206345,0.4132717251777649,0.35069483518600464
schedule,0.2249620258808136,0.15710636973381042,0.3474974036216736,0.3504812717437744,0.2374655306339264,0.16260704398155212,0.08860629051923752,0.2197769582271576,0.141633540391922,0.1506621539592743,0.3825801610946655,0.5449684262275696,0.305117130279541,0.30821549892425537,0.3387980461120605,0.3713633120059967,0.2705589234828949,,0.283635675907135,0.340084433555603
ahu,0.1668931245803833,0.11953768134117125,0.1790650188922882,0.2107815444469452,0.22148582339286804,0.16784581542015076,0.08506590127944946,0.11783450841903688,0.10808824747800827,,0.18514658510684967,0.2958969473838806,0.19946454465389246,0.21670788526535034,0.3295402526855469,0.18029136955738068,0.13808660209178925,0.11902008205652236,0.1841013729572296,0.18547412753105166
energy_price,,,0.16106708347797394,0.10579854249954224,0.07006591558456421,0.10821425914764404,,,0.07268084585666656,,0.09722674638032912,0.2709217071533203,0.13508093357086182,0.10326877981424333,0.060797475278377526,0.08491872996091843,0.18455049395561215,,0.1826017946004868,0.23515045642852786
cost_savings,,0.06054899841547012,0.11528634279966354,0.08713045716285706,0.14124220609664914,0.10395809262990953,,,0.11253730952739716,0.1231728196144104,0.15201407670974731,0.3403016924858093,0.21842679381370544,0.06807094812393187,0.10918182134628296,0.12348918616771698,0.10414784401655196,,0.1374085247516632,0.12324778735637665
building_envelope,0.16401079297065735,0.12924261391162872,0.12370842695236205,0.2757623791694641,0.099124476313591,0.08899916708469391,,,,0.09898342937231064,0.4454305768013001,0.4747982025146485,0.2709396481513977,0.2523552179336548,0.2532194256782532,0.1788584440946579,0.17475587129592896,,0.22478237748146054,0.24536605179309845
building_geometry,0.13626360893249512,0.12534986436367035,0.07283458858728409,0.18580126762390134,,,,,0.10486894845962524,0.2452056407928467,0.5010842680931091,0.31371626257896423,0.15315526723861694,0.07699347287416458,0.15351533889770508,0.13193537294864655,0.12493031471967694,,0.13844478130340576,0.17407578229904175
material_properties,0.10323399305343628,0.1068151444196701,0.08674818277359009,0.20410600304603574,0.07933083921670914,,,,,0.08094459772109985,0.34311947226524353,0.23096275329589844,0.06620771437883377,0.31415998935699463,0.263201117515564,0.14491187036037445,0.15613000094890594,,0.16027024388313293,0.23907719552516934
glazing,0.06643204391002655,0.1002320647239685,0.13086585700511932,0.1968715488910675,0.07630839943885802,0.0848870500922203,,,0.1011202558875084,0.09494978189468384,0.2733118534088135,0.26103657484054565,0.10757617652416228,0.22220593690872192,0.1612294316291809,0.0995856747031212,0.08025520294904709,,0.19932983815670013,0.21753956377506256
shading_devices,0.050893161445856094,0.13096854090690613,0.1142485737800598,0.19902682304382324,0.09244344383478163,0.13301318883895874,,,,0.105154387652874,0.2665744125843048,0.3378765881061554,0.1811714470386505,0.1719614416360855,0.1476496458053589,0.09779661893844603,0.0921567678451538,,0.1586119532585144,0.17149783670902252
building_orientation,0.10694865882396698,0.24101170897483826,0.24104928970336914,0.2114763855934143,0.062280356884002686,0.061743859201669686,,,0.056378960609436035,0.13476356863975525,0.2406342029571533,0.31522732973098755,0.1815020889043808,0.27290886640548706,0.20111623406410215,0.192654088139534,0.14683173596858978,0.08250612020492554,0.1713712513446808,0.34520846605300903
zone,0.08639153838157654,0.1838116943836212,0.26719486713409424,0.3542117476463318,0.0519363135099411,0.07318994402885437,,,0.06216224655508995,0.09214316308498384,0.3626648187637329,0.2737585008144379,0.12654554843902588,0.3069630563259125,0.30953115224838257,0.20552004873752594,0.12099259346723555,,0.1874895691871643,0.26907315850257874
surface,0.06571690738201141,0.22445707023143768,0.21714919805526733,0.3002520501613617,0.05888113379478455,,,,,0.08078073710203171,0.20625504851341248,0.22954249382019046,,0.4079547822475433,0.2713489830493927,0.1457073986530304,0.1323259472846985,,0.14773306250572205,0.32432568073272705
thermal_mass,,0.061856284737586975,0.11244020611047743,0.13382588326931,0.09441793709993362,0.05759008601307869,,,,,0.2507714927196503,0.3319529891014099,0.12351040542125702,0.15974262356758118,0.16342434287071228,,0.07719772309064865,,0.10851100832223892,0.17559313774108887
building_form,0.0918651670217514,0.1304253339767456,0.15039879083633426,0.07333934307098389,,,,0.056053660809993744,0.12443533539772035,0.18918004631996155,0.3314008712768555,0.3524021506309509,0.25199419260025024,0.06649256497621536,0.07731622457504272,0.13347573578357694,0.10053333640098573,0.09921030700206757,0.18715089559555054,0.19193609058856964
