index,measurement_and_verification,retro-commissioning,ubem,retrofit_analysis,energy_audit,energy_benchmarking,om,hvac_optimization,district_energy_system,parametric_design,life_cycle_assessment,passive_design,demand_response,renewable_energy,demand_controlled_ventilation,model_predictive_control,fault_detection_and_diagnosis
baseline_models,0.2708240747451782,0.17673134803771973,0.2327801734209061,0.2282562553882599,0.11700073629617692,0.15175962448120114,,,,,,0.059587098658084876,,,0.14553232491016388,,0.12348663806915285
ecm,0.2727906405925751,0.21417436003685,0.18186378479003906,0.5295395255088806,0.3532117307186127,0.19472849369049072,0.12714633345603946,0.060646720230579376,,,0.18042266368865967,0.21239587664604187,0.12115943431854248,0.0763150230050087,0.25009727478027344,0.1637677550315857,0.2596372067928314
air_speed,0.07602686434984207,,,0.11520910263061525,0.05187666043639183,,,,,,,0.098092183470726,,0.07037290930747986,0.19290173053741452,0.08688612282276154,0.0702374055981636
wind_direction,,,0.059015218168497086,0.06319364905357361,,,,,,,0.13244445621967316,0.19205978512763974,,0.2069147229194641,,0.10654725134372713,
indoor_air_temperature,,,,0.0848042219877243,,,0.07355966418981552,,,,0.06708607077598573,0.2012929767370224,0.12117912620306015,0.13594794273376465,0.1427808403968811,0.20397433638572693,0.1335025131702423
outdoor_air_temperature,,,,,,0.053848996758461,,,0.09878606349229813,,,0.203410878777504,,,0.09878910332918167,0.11182857304811478,0.1129879429936409
outdoor_temperature,,,,0.11566495895385742,,,,,0.05455061048269272,,0.061017859727144234,0.1842690408229828,0.07100047171115875,0.0972392037510872,,0.13523754477500916,
relative_humidity,,,,0.0550675205886364,,,,,,,0.057438462972640984,0.11563102900981904,,0.08617273718118668,0.1461840271949768,0.12262662500143053,0.07976041734218597
time-step,,,,,0.09929362684488297,,,,,,,,0.06078505143523216,0.05848553404211997,0.10066364705562593,0.2031651884317398,0.05176334083080292
heat_balance,,,0.06674861907958984,0.1322929859161377,0.13345205783843994,,0.07331177592277527,,,,0.09683522582054138,0.13462628424167633,0.07370316982269287,,,0.14040926098823547,0.09343700110912324
energy_balance,,,,0.1284978985786438,0.1657300591468811,,0.08861614763736725,,,,0.18478888273239136,0.09589742124080658,0.12909501791000366,0.2174505889415741,,0.07958182692527771,0.1072506457567215
heat_transfer,,,,0.12481419742107393,0.06466390937566757,,,,,,0.05379418283700943,0.09545663744211197,0.06265775114297867,0.09534214437007904,,0.12572401762008667,0.10214392840862274
carbon_dioxide,,,,0.10252095758914948,,,0.10403082519769667,,,,0.24275192618370056,0.0782773494720459,,0.29532450437545776,0.23790480196475985,0.14887726306915286,0.09708186239004137
site,,,0.0764245092868805,0.1846882402896881,0.21824504435062408,,0.09521736204624176,,0.08785812556743622,,0.11917097121477127,0.1345875859260559,0.062287632375955575,0.1898641139268875,,,0.07646128535270691
weather_data,,0.08963313698768616,0.2623526453971863,0.2202647030353546,0.21644891798496246,0.14915886521339414,0.0504157729446888,,0.12955832481384275,0.10084664821624756,0.18110474944114685,0.2215394377708435,0.09786027669906616,0.18381117284297946,,0.17580196261405945,0.08185775578022003
dry_bulb_temperature,,,,0.05582694709300995,,,0.05540630966424942,,,,,0.10715113580226898,,,0.07588421553373338,0.08926099538803099,0.06354781985282898
dew_point,,,,,,,,,,,,,,,0.08302181959152223,,0.0532761849462986
energy_consumption,0.14940527081489566,0.1518837958574295,0.3453340828418732,0.3280767798423767,0.3635075092315674,0.3544332981109619,0.08562109619379044,,0.07722415775060654,,0.30822259187698364,0.2602100372314453,0.2901627421379089,0.37641292810440063,0.1643701046705246,0.2838147282600403,0.2955254018306732
schedule,0.07683044672012329,0.15499630570411682,0.18218758702278134,0.2551640570163727,0.2017233967781067,0.05349643528461456,0.08473837375640869,,,,0.14683659374713898,0.16903066635131836,0.4173145890235901,0.22379115223884585,0.3054738938808441,0.3845987915992737,0.2568632960319519
ahu,0.10724439471960068,0.2407523542642593,,0.18159419298172,0.13635362684726715,0.08495594561100006,0.09261536598205566,0.0542093887925148,0.06892817467451096,0.09396141767501832,0.06431486457586287,0.10242900997400284,0.10585392266511916,0.0948706567287445,0.2725417912006378,0.3009354770183563,0.4540176689624786
energy_price,,0.06441906094551086,,0.17965652048587802,0.0813976600766182,0.0826568752527237,0.08707442134618759,,,,0.10712148249149324,0.05191479623317719,0.3970116972923279,0.3898191154003143,0.07685305178165436,0.30670472979545593,0.11986248195171355
cost_savings,0.14489667117595673,0.17022649943828586,,0.3347318768501282,0.21456237137317655,,0.11106711626052856,,0.06554919481277466,,0.20621004700660706,0.18658754229545596,0.4044579267501831,0.2621675133705139,0.2090705931186676,0.2879795432090759,0.15489907562732694
building_envelope,,0.07943599671125412,,0.3669675290584564,0.23501722514629364,0.09417133778333664,0.12311610579490663,,0.117271326482296,0.1279275268316269,0.2493985891342163,0.4170603156089783,0.2271709740161896,0.2958880066871643,0.08515393733978271,0.1990322768688202,0.1697131097316742
building_geometry,,,0.2310904413461685,0.24178919196128845,0.11172638088464737,0.07463960349559784,,,0.060901686549186713,0.18923981487751007,0.2016049474477768,0.20149601995944974,,0.06328881531953813,,0.06838918477296829,0.07353472709655763
