index,feature_extraction,segmentation,clustering,classification,neural_networks,reinforcement_learning,generative_adversarial_networks,anomaly_detection,dimensionality_reduction,data_visualization,energy_simulation,optimization,multi-objective_optimization,measurement,validation,data_collection,statistical_analysis,factor_analysis,regression,correlation
life_cycle_assessment,0.11681386083364488,0.1579960286617279,0.14288653433322904,0.22055435180664065,0.1609427034854889,,,0.06387139111757277,,0.17514531314373016,0.3647784590721129,0.2709580659866333,0.36773550510406494,0.17457637190818787,0.22164905071258545,0.2789804935455322,0.2823888659477234,0.07538142055273056,0.19278962910175326,0.09181409329175948
passive_design,0.0852886289358139,0.05560871958732605,0.09224507212638856,0.17036530375480652,0.1549823135137558,0.10212533175945282,0.050438232719898224,,0.168242409825325,0.07253975421190262,0.2942598462104797,0.3265935480594635,0.3190177083015442,,0.09904354810714723,,0.13035744428634646,0.11950007081031801,0.15188340842723844,0.13508695363998413
ubem,0.13668665289878845,0.13137635588645935,0.0834117978811264,,0.14218583703041074,0.1223972663283348,0.15094096958637238,0.10473590344190598,0.054671529680490494,0.14288698136806488,0.3904629945755005,0.12628667056560516,0.12958474457263947,0.09438373148441316,0.2274100184440613,0.1858735978603363,0.2309789657592773,0.05458096414804458,0.14913643896579742,
parametric_design,0.09814409166574478,,,,0.17660610377788544,0.08054712414741516,,,0.10353672504425047,0.17227938771247864,0.27434229850769043,0.1977811008691788,0.23636828362941745,,0.06447591632604599,,0.056256752461194985,0.10149909555912018,0.08757716417312622,
hvac_optimization,,,,,0.14461588859558105,0.0889090970158577,0.12357016652822495,,0.07267972826957703,,0.05845924466848373,0.08116282522678375,0.06350909918546678,,,,,0.07270453870296477,,
district_energy_system,,,,,,,,,0.05337955430150032,0.06444187462329865,0.09132486581802368,0.07946740090847015,0.06976190954446793,,,,,,0.07633045315742493,
measurement_and_verification,,,,,0.0915542170405388,0.06709900498390198,0.13360163569450378,0.1228877604007721,0.06478901207447052,0.09428419172763823,0.1905243694782257,0.06661759316921234,,0.0921664983034134,0.13840574026107788,0.15194137394428253,0.13481605052947998,,0.05325566977262497,
retro-commissioning,0.1377861052751541,0.08243680745363235,0.09704414010047913,,0.0927424430847168,0.0646865963935852,,0.12064377963542937,0.14781202375888824,,0.10282809287309648,0.08054690062999725,0.05430954322218895,0.05900699645280837,0.13382425904273987,0.09969996660947801,0.1151055544614792,,0.1123373880982399,0.07907073944807053
energy_audit,0.1780528873205185,,0.10402961820363997,0.15645712614059448,0.11529730260372162,,,0.16833703219890594,0.1037224978208542,0.11964448541402815,0.32836467027664185,0.18321138620376587,0.1051826924085617,0.14807677268981936,0.21467117965221405,0.3283863067626953,0.20317959785461426,0.10880275070667267,0.18792769312858584,0.06145710498094559
model_predictive_control,0.14604368805885315,0.10893654078245164,0.11541838198900226,0.11602498590946198,0.3745160400867462,0.37229308485984797,,0.1318213790655136,0.1658855527639389,0.06505010277032852,0.240300327539444,0.42287418246269226,0.3862340450286865,0.11856764554977416,0.22881683707237244,0.10382947325706482,0.1954362690448761,,0.17268824577331546,
demand_response,0.1551932543516159,0.11921750009059905,0.1866940259933472,0.18300220370292666,0.1781364381313324,0.189784973859787,0.05033019557595253,0.17441067099571228,0.2222118079662323,0.19672948122024536,0.18381322920322415,0.363899827003479,0.2708570659160614,0.18635430932044986,0.1752537041902542,0.2113630473613739,0.13545724749565125,,0.12570805847644806,
energy_benchmarking,0.1922803819179535,0.14129914343357086,0.15997111797332764,0.13567925989627838,0.14796456694602966,0.14038844406604767,0.07450981438159943,0.23163411021232605,0.2356245964765549,0.18272602558135986,0.2313556969165802,0.08792150020599365,0.06479602307081223,,0.13493290543556213,0.13938501477241516,0.3174371719360352,0.11121072620153427,0.2999488413333893,0.08364854753017427
fault_detection_and_diagnosis,0.4593078792095184,0.2388712912797928,0.2812318205833435,0.3704037368297577,0.4382406175136566,0.22952890396118164,0.1902538686990738,0.432096004486084,0.3393856883049011,0.20115588605403897,0.2697694301605225,0.2797384858131409,0.2269280254840851,0.28708961606025696,0.3445948958396912,0.23431414365768435,0.3910602033138275,0.09239990264177322,0.2599683403968811,0.17862039804458618
om,0.08128057420253754,,0.10181910544633864,0.15379956364631653,0.059970326721668236,0.10676918923854828,,,,,,0.054879792034626014,0.1092764213681221,0.0533401295542717,,,,0.07088536024093628,,
demand_controlled_ventilation,0.11815530061721803,,0.0717824324965477,0.08530206978321075,0.11811977624893187,0.18221153318881989,0.1053883358836174,0.06559092551469803,0.09789581596851347,0.07086460292339325,0.1471867710351944,0.16150692105293274,0.11431147158145905,0.17380571365356445,0.15771250426769254,0.11011549830436708,0.06459365785121918,,0.09556753933429718,0.10102912038564682
renewable_energy,,,0.1363222450017929,0.1983662843704224,0.1739065647125244,0.14294300973415375,,,,0.08691266179084778,0.2096841037273407,0.35840368270874023,0.22436493635177607,0.14482882618904114,0.19271673262119293,0.19318449497222898,0.16479717195034027,,0.098295696079731,0.1358446329832077
retrofit_analysis,0.17799845337867734,0.08170922100543976,0.16630175709724426,0.16247041523456573,0.1404333859682083,0.10584260523319244,,0.08261922001838684,0.16348609328269958,0.17309285700321198,0.3180605173110962,0.4008089900016785,0.2785821557044983,0.17509503662586212,0.2647708058357239,0.27048805356025696,0.2109672725200653,0.11373338103294373,0.18325647711753845,0.1763043999671936
